Video,Frame,Event Type,Parent IDs,Child IDs,Note,Score,start_frame,end_frame,source_mask_prev,source_mask_curr
500C-EDmovie2-jpg,399--400,merge,[583],[36][396],Two particles merge into one,0.5509992948886311,399,400,0399__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif,0400__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif
500C-EDmovie2-jpg,405--406,merge,[571],[571][667],Two particles merge into one,0.5950584800373211,405,406,0405__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif,0406__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif
500C-EDmovie2-jpg,410--411,merge,[703],[457][703],Two particles merge into one,0.5626499051700544,410,411,0410__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif,0411__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif
500C-EDmovie2-jpg,412--413,merge,[588],[588][673],Two particles merge into one,0.6040581796426125,412,413,0412__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif,0413__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif
500C-EDmovie2-jpg,412--413,merge,[33],[33][613],Two particles merge into one,0.5509622621436785,412,413,0412__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif,0413__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif
500C-EDmovie2-jpg,416--417,split,[683],[683][716][727],A particle splits into 3,0.5744850959464987,416,417,0416__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif,0417__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif
500C-EDmovie2-jpg,416--417,merge,[703],[457][703],Two particles merge into one,0.5598485329798396,416,417,0416__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif,0417__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif
500C-EDmovie2-jpg,417--418,merge,[597],[597][680],Two particles merge into one,0.5829944929310582,417,418,0417__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif,0418__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif
500C-EDmovie2-jpg,421--422,merge,[497],[497][608],Two particles merge into one,0.5770907877144327,421,422,0421__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif,0422__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif
500C-EDmovie2-jpg,427--428,merge,[748],[748][574],Two particles merge into one,0.5648900493405303,427,428,0427__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif,0428__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif
500C-EDmovie2-jpg,427--428,merge,[702],[682][702],Two particles merge into one,0.5571136815183817,427,428,0427__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif,0428__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif
500C-EDmovie2-jpg,427--428,merge,[574],[755][574][748],3 particles merge into one,0.5519691023181641,427,428,0427__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif,0428__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif
500C-EDmovie2-jpg,434--435,merge,[777],[571][370],Two particles merge into one,0.6503327498416297,434,435,0434__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif,0435__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif
500C-EDmovie2-jpg,435--436,split,[777],[571][777],A particle splits into two,0.5749445093546942,435,436,0435__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif,0436__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif
500C-EDmovie2-jpg,435--436,merge,[748],[748][574],Two particles merge into one,0.5659538564811808,435,436,0435__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif,0436__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif
500C-EDmovie2-jpg,436--437,merge,[737],[737][550],Two particles merge into one,0.5840016260316416,436,437,0436__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif,0437__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif
500C-EDmovie2-jpg,436--437,merge,[571],[571][777],Two particles merge into one,0.5759598656890473,436,437,0436__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif,0437__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif
500C-EDmovie2-jpg,436--437,merge,[704],[406][704],Two particles merge into one,0.5669167678698234,436,437,0436__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif,0437__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif
500C-EDmovie2-jpg,436--437,merge,[778],[597][778],Two particles merge into one,0.5616495749330843,436,437,0436__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif,0437__small_dark_solid_TEM_particleirregular_shapesharp_edgenon-hollow__conf0.25__tracks.tif
